question_text;option_1;option_2;option_3;option_4;correct_answer;language;link_id;subject;topic;bloom_level
Az eupnoe mintázata melyik tüdõtérfogattal jelenik meg?;Normál tüdõtérfogat;Csökkent tüdõtérfogat;Tágult tüdõtérfogat;Minimális tüdõtérfogat;Normál tüdõtérfogat;hu;RESP_59;Respiratory Physiology;Légzés (Bloom 1);1
Hyperpnea breathing achieves what volume change?;Increased lung volume;Decreased lung volume;Stable lung volume;Absent lung volume;Increased lung volume;en;RESP_60;Respiratory Physiology;Légzés (Bloom 1);1
Milyen térfogatváltozást ér el a hyperpnoés légzés?;Megnövekedett tüdõtérfogat;Csökkent tüdõtérfogat;Stabil tüdõtérfogat;Hiányzó tüdõtérfogat;Megnövekedett tüdõtérfogat;hu;RESP_60;Respiratory Physiology;Légzés (Bloom 1);1
Section 3.2 title specifies work of what?;Ventilation and breathing;Circulation and perfusion;Digestion and absorption;Excretion and filtration;Ventilation and breathing;en;RESP_61;Respiratory Physiology;Légzés (Bloom 1);1
A 3.2-es fejezet címe minek a munkáját határozza meg?;Ventiláció és légzés;Keringés és perfúzió;Emésztés és felszívódás;Kiválasztás és filtráció;Ventiláció és légzés;hu;RESP_61;Respiratory Physiology;Légzés (Bloom 1);1
Optimal breathing minimizes what physiologic cost?;Dyspnea sensation level;Oxygen uptake cost;Carbon output rate;Heart rate increase;Oxygen uptake cost;en;RESP_62;Respiratory Physiology;Légzés (Bloom 1);1
Az optimális légzés melyik élettani költséget minimalizálja?;Nehézlégzés érzet szintje;Oxigénfelvétel költsége;Szén-dioxid kibocsátási ráta;Pulzusszám növekedése;Oxigénfelvétel költsége;hu;RESP_62;Respiratory Physiology;Légzés (Bloom 1);1
Higher respiratory frequency requires what increase?;Inspiratory muscle power;Expiratory muscle power;Diaphragm relaxation;Intercostal inhibition;Inspiratory muscle power;en;RESP_63;Respiratory Physiology;Légzés (Bloom 1);1
Milyen növekedést igényel a magasabb légzési frekvencia?;Belégzõizmok ereje (power);Kilégzõizmok ereje;Rekeszizom ellazulása;Bordaközi gátlás;Belégzõizmok ereje (power);hu;RESP_63;Respiratory Physiology;Légzés (Bloom 1);1
Rapid shallow breathing defined by what pattern?;High frequency low amplitude;Low frequency high amplitude;Medium frequency medium amplitude;Variable frequency amplitude;High frequency low amplitude;en;RESP_64;Respiratory Physiology;Légzés (Bloom 1);1
Hogyan definiáljuk a gyors, felületes légzést (szapora légvétel)?;Nagy frekvencia, kis amplitúdó;Kis frekvencia, nagy amplitúdó;Közepes frekvencia, közepes amplitúdó;Változó frekvencia és amplitúdó;Nagy frekvencia, kis amplitúdó;hu;RESP_64;Respiratory Physiology;Légzés (Bloom 1);1
In Fig 3.7A, curve plots volume against what?;Transpulmonary pressure;Pleural surface pressure;Atmospheric barometric pressure;Alveolar distending pressure;Transpulmonary pressure;en;RESP_65;Respiratory Physiology;Légzés (Bloom 1);1
A 3.7A ábrán a görbe a térfogatot mihez képest ábrázolja?;Transzpulmonális nyomás;Pleurális felszíni nyomás;Atmoszférikus barometrikus nyomás;Alveoláris feszítõ nyomás;Transzpulmonális nyomás;hu;RESP_65;Respiratory Physiology;Légzés (Bloom 1);1
Normal expiration driven primarily by?;Elastic recoil forces;Active muscle contraction;Positive pleural pressure;Airway smooth contraction;Elastic recoil forces;en;RESP_66;Respiratory Physiology;Légzés (Bloom 1);1
Mi hajtja elsõsorban a normál kilégzést?;Rugalmas visszarúgó erõk (elastic recoil);Aktív izomösszehúzódás;Pozitív pleurális nyomás;Légúti simaizom-összehúzódás;Rugalmas visszarúgó erõk (elastic recoil);hu;RESP_66;Respiratory Physiology;Légzés (Bloom 1);1
Pulsatile flow effect seen where primarily?;Capillary endothelial layer;Arterial smooth media;Venous valvular cusps;Lymphatic endothelial;Capillary endothelial layer;en;RESP_67;Respiratory Physiology;Légzés (Bloom 1);1
Hol látható elsõsorban a pulzáló áramlás hatása?;Kapilláris endothel réteg;Artériás simaizom (media);Vénás billentyûk;Nyirokrendszeri endothel;Kapilláris endothel réteg;hu;RESP_67;Respiratory Physiology;Légzés (Bloom 1);1
Annual oxygen cost for what equals kcal?;Alveolar ventilation work;Myocardial contraction work;Renal filtration work;Skeletal muscle tone;Alveolar ventilation work;en;RESP_68;Respiratory Physiology;Légzés (Bloom 1);1
Minek az éves oxigénköltsége felel meg kcal-nak?;Alveoláris ventilációs munka;Szívizom összehúzódási munka;Vese-filtrációs munka;Vázizomtónus;Alveoláris ventilációs munka;hu;RESP_68;Respiratory Physiology;Légzés (Bloom 1);1
Emphysema impacts what lung component?;Collagen elastic fibers;Smooth muscle bands;Ciliated epithelial cells;Goblet mucous cells;Collagen elastic fibers;en;RESP_69;Respiratory Physiology;Légzés (Bloom 1);1
Melyik tüdõkomponenst érinti az emphysema?;Kollagén és rugalmas rostok;Simaizomkötegek;Csillós hámsejtek;Kehelysejtek;Kollagén és rugalmas rostok;hu;RESP_69;Respiratory Physiology;Légzés (Bloom 1);1
Chronic respiratory diseases include what condition?;Emphysema;Asthma;Cystic fibrosis;All listed;All listed;en;RESP_70;Respiratory Physiology;Légzés (Bloom 1);1
Mely állapotok tartoznak a krónikus légzõszervi betegségek közé?;Emphysema;Asztma;Cisztás fibrózis;Minden felsorolt;Minden felsorolt;hu;RESP_70;Respiratory Physiology;Légzés (Bloom 1);1
Emphysema increases lung elastic what property?;Surface area compliance;Vascular bed compliance;Airway smooth compliance;Pleural space compliance;Surface area compliance;en;RESP_71;Respiratory Physiology;Légzés (Bloom 1);1
Melyik rugalmas tulajdonságot növeli az emphysema a tüdõben?;Felszíni compliance;Vaszkuláris compliance;Légúti simaizom compliance;Pleuralis tér compliance;Felszíni compliance;hu;RESP_71;Respiratory Physiology;Légzés (Bloom 1);1
Alpha-1 antitrypsin deficiency leads to what?;Panacinar emphysema;Centrilobular emphysema;Irregular airway emphysema;Bullous localized emphysema;Panacinar emphysema;en;RESP_72;Respiratory Physiology;Légzés (Bloom 1);1
Mire vezet az alfa-1 antitripszin hiánya?;Panacináris emphysema;Centrilobuláris emphysema;Irreguláris légúti emphysema;Bullosus lokalizált emphysema;Panacináris emphysema;hu;RESP_72;Respiratory Physiology;Légzés (Bloom 1);1
Dust exposure over 30 years causes what lung disease?;Dust macule formation;Pneumoconiosis simple type;Silicosis progressive fibrosis;Asbestosis pleural plaques;Pneumoconiosis simple type;en;RESP_73;Respiratory Physiology;Légzés (Bloom 1);1
Mihez vezet a 30 éven át tartó porterhelés a tüdõben?;Pormaculák képzõdése;Egyszerû típusú pneumoconiosis;Szilikózis, progresszív fibrózis;Azbesztózis, pleurális plakkok;Egyszerû típusú pneumoconiosis;hu;RESP_73;Respiratory Physiology;Légzés (Bloom 1);1
Bronchiolectasis associated with what spirometry pattern?;Obstructive ventilatory defect;Restrictive ventilatory defect;Mixed ventilatory defect;Normal ventilatory pattern;Obstructive ventilatory defect;en;RESP_74;Respiratory Physiology;Légzés (Bloom 1);1
Milyen spirometriás mintázattal jár a bronchiolectasia?;Obstruktív ventilációs zavar;Restriktív ventilációs zavar;Kevert ventilációs zavar;Normál ventilációs mintázat;Obstruktív ventilációs zavar;hu;RESP_74;Respiratory Physiology;Légzés (Bloom 1);1
Cause of restrictive surface disorders of lung?;Loss of alveolar units;Chest wall muscle weakness;Airway smooth muscle spasm;Pulmonary vascular congestion;Loss of alveolar units;en;RESP_75;Respiratory Physiology;Légzés (Bloom 1);1
Melyik a tüdõ restriktív felszíni zavarainak oka?;Alveoláris egységek elvesztése;Mellkasfali izomgyengeség;Légúti simaizom-görcs;Pulmonális vaszkuláris pangás;Alveoláris egységek elvesztése;hu;RESP_75;Respiratory Physiology;Légzés (Bloom 1);1
Interstitial fibrosis increases lung what measurement?;Recoil pressure level;Compliance curve slope;Airway resistance value;Tidal volume capacity;Recoil pressure level;en;RESP_76;Respiratory Physiology;Légzés (Bloom 1);1
Mit növel az interstitialis fibrózis a tüdõben?;Rugalmas visszahúzódási nyomás (recoil);Compliance-görbe meredeksége;Légúti ellenállás értéke;Légzési volumen kapacitás;Rugalmas visszahúzódási nyomás (recoil);hu;RESP_76;Respiratory Physiology;Légzés (Bloom 1);1
Increased respiratory surface disorders include what?;Pulmonary emboli;Pleural effusions;Pneumothorax tension;Atelectasis compressive;Pulmonary emboli;en;RESP_77;Respiratory Physiology;Légzés (Bloom 1);1
Melyik tartozik a fokozott légzési felszíni zavarok közé?;Tüdõembólia;Pleurális effúzió (mellkasi folyadék);Tenziós pneumothorax;Kompresszív atelectasia;Tüdõembólia;hu;RESP_77;Respiratory Physiology;Légzés (Bloom 1);1
Compliance in emphysema characterized by what lung feature?;Whole lung hyperinflation;Segmental lobe deflation;Airway uniform constriction;Vascular bed reduction;Whole lung hyperinflation;en;RESP_78;Respiratory Physiology;Légzés (Bloom 1);1
Milyen tüdõjellemzõvel azonosítjuk a compliance-t emphysemában?;Az egész tüdõ hyperinflációja (túlfúvódás);Szegmentális lebenyösszeesés;Egységes légúti szûkület;Vaszkuláris ágy csökkenése;Az egész tüdõ hyperinflációja (túlfúvódás);hu;RESP_78;Respiratory Physiology;Légzés (Bloom 1);1
Emphysema destroys what alveolar wall component?;Septal capillary bed;Bronchial cartilage rings;Pleural mesothelial layer;Lymphatic drainage channels;Septal capillary bed;en;RESP_79;Respiratory Physiology;Légzés (Bloom 1);1
Melyik alveoláris falkomponenst pusztítja el az emphysema?;Septalis kapilláriságy;Bronchiális porcgyûrûk;Pleuralis mesothel réteg;Nyirokelvezetési csatornák;Septalis kapilláriságy;hu;RESP_79;Respiratory Physiology;Légzés (Bloom 1);1
High lung compliance seen in what condition?;Emphysema patients;Fibrosis patients;Pneumonia patients;Edema patients;Emphysema patients;en;RESP_80;Respiratory Physiology;Légzés (Bloom 1);1
Melyik állapotban látható magas tüdõ-compliance?;Emphysemás betegek;Fibrózisos betegek;Pneumoniás betegek;Ödémás betegek;Emphysemás betegek;hu;RESP_80;Respiratory Physiology;Légzés (Bloom 1);1
Loss of radial traction affects what airway generation?;Small airway generation;Large airway generation;Tracheal main generation;Bronchial intermediate generation;Small airway generation;en;RESP_81;Respiratory Physiology;Légzés (Bloom 1);1
A radiális trakció elvesztése melyik légúti generációt érinti?;Kis légúti generáció;Nagy légúti generáció;Fõ légcsõ (trachea);Köztes bronchiális generáció;Kis légúti generáció;hu;RESP_81;Respiratory Physiology;Légzés (Bloom 1);1
Pulmonary fibrosis increases what mechanical property?;Lung stiffness level;Airway diameter size;Vascular compliance range;Pleural fluid volume;Lung stiffness level;en;RESP_82;Respiratory Physiology;Légzés (Bloom 1);1
Melyik mechanikai tulajdonságot növeli a tüdõfibrózis?;Tüdõ merevsége (stiffness);Légúti átmérõ;Vaszkuláris compliance tartomány;Pleurális folyadék mennyisége;Tüdõ merevsége (stiffness);hu;RESP_82;Respiratory Physiology;Légzés (Bloom 1);1
Interstitial lung disease impairs gas what process?;Diffusing capacity test;Peak flow measurement;Tidal volume expansion;Residual volume reduction;Diffusing capacity test;en;RESP_83;Respiratory Physiology;Légzés (Bloom 1);1
Melyik folyamatot károsítja az interstitialis tüdõbetegség?;Diffúziós kapacitás (DLCO);Csúcsáramlás mérése;Légzési volumen tágulása;Reziduális volumen csökkenése;Diffúziós kapacitás (DLCO);hu;RESP_83;Respiratory Physiology;Légzés (Bloom 1);1
Pulmonary hypertension caused by what alveolar destruction?;Capillary bed loss;Smooth muscle hypertrophy;Endothelial cell proliferation;Intimal fibrous thickening;Capillary bed loss;en;RESP_84;Respiratory Physiology;Légzés (Bloom 1);1
Milyen alveoláris pusztulás okoz pulmonális hipertóniát?;Kapilláriságy elvesztése;Simaizom-hypertrophia;Endothelsejt-proliferáció;Intimális fibrózis;Kapilláriságy elvesztése;hu;RESP_84;Respiratory Physiology;Légzés (Bloom 1);1
Hypoxia in emphysema due to what ventilation issue?;Ventilation perfusion mismatch;Diffusion barrier thickening;Shunt blood flow increase;Dead space ventilation;Ventilation perfusion mismatch;en;RESP_85;Respiratory Physiology;Légzés (Bloom 1);1
Mi okozza a hypoxiát emphysemában?;Ventiláció-perfúzió mismatch;Diffúziós gát megvastagodása;Sönt-véráramlás növekedése;Holttér-ventiláció;Ventiláció-perfúzió mismatch;hu;RESP_85;Respiratory Physiology;Légzés (Bloom 1);1
Chest wall disorders cause what ventilatory pattern?;Restrictive ventilatory defect;Obstructive ventilatory defect;Hypercapnic respiratory failure;Hypoxemic respiratory alkalosis;Restrictive ventilatory defect;en;RESP_86;Respiratory Physiology;Légzés (Bloom 1);1
Milyen ventilációs mintázatot okoznak a mellkasfali rendellenességek?;Restriktív ventilációs zavar;Obstruktív ventilációs zavar;Hypercapniás légzési elégtelenség;Hypoxiás légzési alkalózis;Restriktív ventilációs zavar;hu;RESP_86;Respiratory Physiology;Légzés (Bloom 1);1
Parenchymal lung destruction leads to what hyperinflation?;Dynamic airway hyperinflation;Static chest hyperinflation;Vascular hyperinflation;Pleural hyperinflation;Dynamic airway hyperinflation;en;RESP_87;Respiratory Physiology;Légzés (Bloom 1);1
Hova vezet a tüdõparenchyma pusztulása?;Dinamikus légúti hyperinfláció (túlfúvódás);Statikus mellkasi hyperinfláció;Vaszkuláris hyperinfláció;Pleuralis hyperinfláció;Dinamikus légúti hyperinfláció (túlfúvódás);hu;RESP_87;Respiratory Physiology;Légzés (Bloom 1);1
Interstitial emphysema expands what lung region?;Peribronchial air spaces;Alveolar capillary spaces;Pleural cavity spaces;Vascular lumen spaces;Peribronchial air spaces;en;RESP_88;Respiratory Physiology;Légzés (Bloom 1);1
Melyik tüdõrégiót tágítja az interstitialis emphysema?;Peribronchiális légterek;Alveoláris kapilláris terek;Pleuralis üreg;Érlumen;Peribronchiális légterek;hu;RESP_88;Respiratory Physiology;Légzés (Bloom 1);1
Age related change decreases what lung component?;Elastic tissue content;Collagen fiber content;Smooth muscle content;Cartilage ring content;Elastic tissue content;en;RESP_89;Respiratory Physiology;Légzés (Bloom 1);1
Melyik tüdõkomponens csökken az életkorral összefüggõ változások során?;Rugalmas szövetek mennyisége;Kollagénrost-tartalom;Simaizom-tartalom;Porcgyûrû-tartalom;Rugalmas szövetek mennyisége;hu;RESP_89;Respiratory Physiology;Légzés (Bloom 1);1
Simple pneumoconiosis features what lung pathology?;Upper lobe dust macules;Diffuse interstitial fibrosis;Nodular massive fibrosis;Pleural calcified plaques;Upper lobe dust macules;en;RESP_90;Respiratory Physiology;Légzés (Bloom 1);1
Mi jellemzõ az egyszerû pneumoconiosisra?;Felsõ lebenyi pormaculák;Diffúz interstitialis fibrózis;Noduláris masszív fibrózis;Pleuralis meszes plakkok;Felsõ lebenyi pormaculák;hu;RESP_90;Respiratory Physiology;Légzés (Bloom 1);1
Alpha1-antitrypsin protects against what tissue damage?;Elastase mediated injury;Collagenase mediated injury;Hyaluronidase mediated injury;Cathepsin mediated injury;Elastase mediated injury;en;RESP_91;Respiratory Physiology;Légzés (Bloom 1);1
Milyen szöveti károsodás ellen véd az alfa-1 antitripszin?;Elasztáz közvetítette károsodás;Kollagenáz közvetítette károsodás;Hialuronidáz közvetítette károsodás;Katepszin közvetítette károsodás;Elasztáz közvetítette károsodás;hu;RESP_91;Respiratory Physiology;Légzés (Bloom 1);1
Obliterative bronchiolitis impairs what lung function?;Small airway patency;Large airway patency;Vascular patency;Pleural patency;Small airway patency;en;RESP_92;Respiratory Physiology;Légzés (Bloom 1);1
Milyen tüdõfunkciót károsít az obliteratív bronchiolitis?;Kis légutak átjárhatósága;Nagy légutak átjárhatósága;Erek átjárhatósága;Pleura átjárhatósága;Kis légutak átjárhatósága;hu;RESP_92;Respiratory Physiology;Légzés (Bloom 1);1
Respiratory bronchiolitis causes what coal worker type?;Simple CWP type;Complicated CWP type;Caplan syndrome type;Silicotic nodule type;Simple CWP type;en;RESP_93;Respiratory Physiology;Légzés (Bloom 1);1
Milyen típusú szénbányász-betegséget (CWP) okoz a respiratorikus bronchiolitis?;Egyszerû CWP típus;Komplikált CWP típus;Caplan-szindróma típus;Szilikotikus csomó típus;Egyszerû CWP típus;hu;RESP_93;Respiratory Physiology;Légzés (Bloom 1);1
Lung resection decreases what compliance factor?;Remaining lung tissue;Chest wall stiffness;Airway resistance;Vascular resistance;Remaining lung tissue;en;RESP_94;Respiratory Physiology;Légzés (Bloom 1);1
A tüdõreszekció minek a compliance-ét csökkenti?;A maradék tüdõszövet compliance-e;Mellkasfali merevség;Légúti ellenállás;Vaszkuláris ellenállás;A maradék tüdõszövet compliance-e;hu;RESP_94;Respiratory Physiology;Légzés (Bloom 1);1
Cigarette smoke induces what type of emphysema?;Centrilobular emphysema;Panlobular emphysema;Irregular paraseptal emphysema;Bullous apical emphysema;Centrilobular emphysema;en;RESP_95;Respiratory Physiology;Légzés (Bloom 1);1
Milyen típusú emphysemát okoz a cigarettafüst?;Centrilobuláris emphysema;Panlobuláris emphysema;Irreguláris paraseptalis emphysema;Apicalis bullosus emphysema;Centrilobuláris emphysema;hu;RESP_95;Respiratory Physiology;Légzés (Bloom 1);1
Time for smokers to develop pack emphysema?;Over 20 pack years;Under 10 pack years;Exactly 15 pack years;Less than 5 pack years;Over 20 pack years;en;RESP_96;Respiratory Physiology;Légzés (Bloom 1);1
Mennyi idõ után alakul ki emphysema a dohányosoknál (pack-years)?;20 csomag-év felett;10 csomag-év alatt;Pontosan 15 csomag-év;Kevesebb mint 5 csomag-év;20 csomag-év felett;hu;RESP_96;Respiratory Physiology;Légzés (Bloom 1);1
Smokers 30-50 years old show what FEV1 decline?;30-50 ml year decline;20-30 ml year decline;50-70 ml year decline;10-20 ml year decline;30-50 ml year decline;en;RESP_97;Respiratory Physiology;Légzés (Bloom 1);1
Milyen mértékû FEV1-csökkenést mutatnak a 30-50 éves dohányosok?;30-50 ml/év csökkenés;20-30 ml/év csökkenés;50-70 ml/év csökkenés;10-20 ml/év csökkenés;30-50 ml/év csökkenés;hu;RESP_97;Respiratory Physiology;Légzés (Bloom 1);1
Women smokers percentage with emphysema pathology?;30 percent affected;10 percent affected;50 percent affected;70 percent affected;30 percent affected;en;RESP_98;Respiratory Physiology;Légzés (Bloom 1);1
Hány százalékban érintettek a dohányzó nõk emphysémás patológiával?;30 százalék érintett;10 százalék érintett;50 százalék érintett;70 százalék érintett;30 százalék érintett;hu;RESP_98;Respiratory Physiology;Légzés (Bloom 1);1
Tobacco smoke activates what alveolar macrophage response?;Reactive oxygen species;Cytokine inhibitory release;Protease inhibitory production;Antioxidant enzyme increase;Reactive oxygen species;en;RESP_99;Respiratory Physiology;Légzés (Bloom 1);1
Milyen alveoláris makrofág-választ vált ki a dohányfüst?;Reaktív oxigénszármazékok (ROS);Citokin-inhibitorok felszabadulása;Proteáz-inhibitor termelés;Antioxidáns enzimek növekedése;Reaktív oxigénszármazékok (ROS);hu;RESP_99;Respiratory Physiology;Légzés (Bloom 1);1
Cigarette smoke impairs what clearance mechanism?;Ciliary beat frequency;Mucous gland secretion;Epithelial cell turnover;Lymphatic drainage flow;Ciliary beat frequency;en;RESP_100;Respiratory Physiology;Légzés (Bloom 1);1
Melyik tisztító mechanizmust károsítja a cigarettafüst?;Csillószõrök verési frekvenciája (ciliary beat);Nyálkamirigyek szekréciója;Epithelsejt-megújulás;Nyirokelvezetés;Csillószõrök verési frekvenciája (ciliary beat);hu;RESP_100;Respiratory Physiology;Légzés (Bloom 1);1
Bronchitis in smokers shows increased what gland size?;Submucosal gland size;Serous gland size;Mucous gland size;Goblet cell size;Mucous gland size;en;RESP_101;Respiratory Physiology;Légzés (Bloom 1);1
Melyik mirigytípus mérete nõ meg dohányosok bronchitisében?;Submucosalis mirigyek;Szerózus mirigyek;Nyálkamirigyek (Mucous glands);Kehelysejtek (Goblet cells);Nyálkamirigyek (Mucous glands);hu;RESP_101;Respiratory Physiology;Légzés (Bloom 1);1
COPD group defined by what disease progression?;Progressive persistent airflow;Intermittent reversible airflow;Stable normal airflow;Rapid improving airflow;Progressive persistent airflow;en;RESP_102;Respiratory Physiology;Légzés (Bloom 1);1
Hogyan definiáljuk a COPD csoportot a betegség progressziója alapján?;Progresszív, perzisztens légúti szûkület;Intermittáló, reverzibilis légúti szûkület;Stabil, normál légáramlás;Gyorsan javuló légáramlás;Progresszív, perzisztens légúti szûkület;hu;RESP_102;Respiratory Physiology;Légzés (Bloom 1);1
COPD hallmark is what ratio abnormality?;FEV1 FVC ratio;FVC PEFR ratio;TLC RV ratio;DLCO VA ratio;FEV1 FVC ratio;en;RESP_103;Respiratory Physiology;Légzés (Bloom 1);1
Mi a COPD jellegzetes spirometriás eltérése?;FEV1/FVC arány csökkenése;FVC/PEFR arány;TLC/RV arány;DLCO/VA arány;FEV1/FVC arány csökkenése;hu;RESP_103;Respiratory Physiology;Légzés (Bloom 1);1
COPD affects what primary lung tissue?;Peripheral airspaces parenchyma;Central large airways only;Vascular endothelium only;Pleural mesothelium only;Peripheral airspaces parenchyma;en;RESP_104;Respiratory Physiology;Légzés (Bloom 1);1
Melyik tüdõszövetet érinti elsõsorban a COPD?;Perifériás légterek és parenchyma;Csak a centrális nagy légutak;Csak az ér-endothel;Csak a pleura mesothel;Perifériás légterek és parenchyma;hu;RESP_104;Respiratory Physiology;Légzés (Bloom 1);1
What virus associated with COPD exacerbations?;Respiratory syncytial virus;Influenza viral strain;Rhinovirus common cold;Parainfluenza type;Respiratory syncytial virus;en;RESP_105;Respiratory Physiology;Légzés (Bloom 1);1
Melyik vírus hozható összefüggésbe a COPD exacerbációkkal?;Respiratory Syncytial Vírus (RSV);Influenza vírus;Rhinovírus (megfázás);Parainfluenza vírus;Respiratory Syncytial Vírus (RSV);hu;RESP_105;Respiratory Physiology;Légzés (Bloom 1);1
COPD small airway disease shows what monocyte increase?;CD8 T lymphocyte increase;CD4 T lymphocyte increase;B lymphocyte increase;NK cell increase;CD8 T lymphocyte increase;en;RESP_106;Respiratory Physiology;Légzés (Bloom 1);1
Milyen sejtes beszûrõdés látható COPD-ben a kis légutaknál?;CD8+ T-limfociták számának növekedése;CD4+ T-limfociták számának növekedése;B-limfociták növekedése;NK-sejtek növekedése;CD8+ T-limfociták számának növekedése;hu;RESP_106;Respiratory Physiology;Légzés (Bloom 1);1
Asthma features what airway smooth muscle change?;Hypertrophy and hyperplasia;Atrophy and hypoplasia;Normal size stable;Reduced total mass;Hypertrophy and hyperplasia;en;RESP_107;Respiratory Physiology;Légzés (Bloom 1);1
Milyen simaizom-elváltozás jellemzõ asztmában a légutakra?;Hypertrophia és hyperplasia (túltengés);Atrophia és hypoplasia;Normális, stabil méret;Csökkent teljes tömeg;Hypertrophia és hyperplasia (túltengés);hu;RESP_107;Respiratory Physiology;Légzés (Bloom 1);1
Bronchial asthma involves what mucosal feature?;Thickened basement membrane;Thinned basement membrane;Absent basement membrane;Fragmented basement membrane;Thickened basement membrane;en;RESP_108;Respiratory Physiology;Légzés (Bloom 1);1
Milyen nyálkahártya-elváltozás jellemzõ bronchiális asztmára?;Megvastagodott bazális membrán;Vékonyodott bazális membrán;Hiányzó bazális membrán;Töredezett bazális membrán;Megvastagodott bazális membrán;hu;RESP_108;Respiratory Physiology;Légzés (Bloom 1);1
Eosinophilic inflammation in asthma mediated by what?;IL5 cytokine signaling;IL4 cytokine signaling;IL13 cytokine signaling;TNF alpha signaling;IL5 cytokine signaling;en;RESP_109;Respiratory Physiology;Légzés (Bloom 1);1
Mi közvetíti az eozinofil gyulladást asztmában?;IL-5 citokin jelátvitel;IL-4 citokin jelátvitel;IL-13 citokin jelátvitel;TNF-alfa jelátvitel;IL-5 citokin jelátvitel;hu;RESP_109;Respiratory Physiology;Légzés (Bloom 1);1
Asthma airway remodeling includes what epithelial change?;Goblet cell metaplasia;Ciliated cell metaplasia;Basal cell metaplasia;Clara cell metaplasia;Goblet cell metaplasia;en;RESP_110;Respiratory Physiology;Légzés (Bloom 1);1
Mit foglal magában a légúti remodeling asztmában a hám szintjén?;Kehelysejt-metaplasia;Csillóssejt-metaplasia;Bazális sejt metaplasia;Clara-sejt metaplasia;Kehelysejt-metaplasia;hu;RESP_110;Respiratory Physiology;Légzés (Bloom 1);1
Large airway cilia destroyed by what in smokers?;Tobacco glycoprotein binding;Carbon monoxide poisoning;Nicotine vascular spasm;Tar particulate deposition;Tobacco glycoprotein binding;en;RESP_111;Respiratory Physiology;Légzés (Bloom 1);1
Mi pusztítja el a nagy légutak csillóit dohányaoknál?;Dohány glikoprotein kötõdése;Szén-monoxid mérgezés;Nikotin okozta érgörcs;Kátrány-részecske lerakódás;Dohány glikoprotein kötõdése;hu;RESP_111;Respiratory Physiology;Légzés (Bloom 1);1
Chronic bronchitis defined by what cough duration?;Three months yearly two years;Six months yearly one year;One month yearly three years;Twelve months continuous;Three months yearly two years;en;RESP_112;Respiratory Physiology;Légzés (Bloom 1);1
Hogyan definiáljuk a krónikus bronchitist a köhögés idõtartama alapján?;Két éven át, évente legalább három hónapig;Egy éven át, évente hat hónapig;Három éven át, évente egy hónapig;Tizenkét hónap folyamatosan;Két éven át, évente legalább három hónapig;hu;RESP_112;Respiratory Physiology;Légzés (Bloom 1);1
COPD inflammation recruits what cell type centrally?;Neutrophils macrophages;Eosinophils lymphocytes;Mast cells basophils;Plasma cells monocytes;Neutrophils macrophages;en;RESP_113;Respiratory Physiology;Légzés (Bloom 1);1
Milyen sejteket toboroz a COPD-s gyulladás centrálisan?;Neutrofil granulociták és makrofágok;Eozinofilok és limfociták;Hízósejtek és bazofilok;Plazmasejtek és monociták;Neutrofil granulociták és makrofágok;hu;RESP_113;Respiratory Physiology;Légzés (Bloom 1);1
Emphysema protease antiprotease imbalance favors what?;Neutrophil elastase activity;Alpha1 protease inhibition;MMP tissue inhibition;TIMP matrix protection;Neutrophil elastase activity;en;RESP_114;Respiratory Physiology;Légzés (Bloom 1);1
Minek kedvez az emphysemában kialakuló proteáz-antiproteáz egyensúlyzavar?;Neutrofil elasztáz aktivitás;Alfa-1 proteáz gátlás;MMP szöveti gátlás;TIMP mátrix védelem;Neutrofil elasztáz aktivitás;hu;RESP_114;Respiratory Physiology;Légzés (Bloom 1);1
Asthma distinguished from COPD by what response?;Largely reversible airflow;Largely irreversible airflow;Stable persistent airflow;Variable random airflow;Largely reversible airflow;en;RESP_115;Respiratory Physiology;Légzés (Bloom 1);1
Mi különbözteti meg az asztmát a COPD-tõl a légáramlás tekintetében?;Nagyrészt reverzibilis légúti szûkület;Nagyrészt irreverzibilis légúti szûkület;Stabil perzisztens légáramlás;Változó random légáramlás;Nagyrészt reverzibilis légúti szûkület;hu;RESP_115;Respiratory Physiology;Légzés (Bloom 1);1
Mucus hypersecretion in COPD due to what metaplasia?;Goblet cell metaplasia;Serous cell metaplasia;Ciliated cell metaplasia;Basal cell metaplasia;Goblet cell metaplasia;en;RESP_116;Respiratory Physiology;Légzés (Bloom 1);1
Mi okozza a fokozott nyákelválasztást COPD-ben?;Kehelysejt-metaplasia;Szerózus sejt metaplasia;Csillóssejt-metaplasia;Bazális sejt metaplasia;Kehelysejt-metaplasia;hu;RESP_116;Respiratory Physiology;Légzés (Bloom 1);1
Smoking recruits what inflammatory cells peripherally?;CD8 macrophages;CD4 eosinophils;Neutrophils basophils;Mast cells plasma;CD8 macrophages;en;RESP_117;Respiratory Physiology;Légzés (Bloom 1);1
Milyen gyulladásos sejteket toboroz a dohányzás perifériásan?;CD8+ limfociták és makrofágok;CD4+ limfociták és eozinofilok;Neutrofilok és bazofilok;Hízósejtek és plazmasejtek;CD8+ limfociták és makrofágok;hu;RESP_117;Respiratory Physiology;Légzés (Bloom 1);1
Bronchial wall edema contributes to what in asthma?;Airflow dynamic compression;Ventilation static restriction;Perfusion vascular shunting;Diffusion membrane thickening;Airflow dynamic compression;en;RESP_118;Respiratory Physiology;Légzés (Bloom 1);1
